b2:6c:ac:9f:f1:c5,paysday,2,-20,32.104120940418746,35.20909271850671,685.0
b2:6c:ac:a0:7b:4d,magneto,11,-20,32.10406321,35.20902709,685.0
1c:b9:c4:95:41:77, ,44,-20,32.10423611,35.21138319,700.0
1c:b9:c4:15:fd:48,Ariel_University,1,-20,32.10383800086539,35.21000470822678,698.6908557467887
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,6,-20,32.10293021025225,35.20969477829112,707.551912761377
1c:b9:c4:16:e5:a8,Ariel_University,6,-20,32.10340998,35.20969477,704.4103268
1c:b9:c4:95:ec:37, ,36,-20,32.10295801443836,35.2096777400274,707.8478868695892
8c:0c:90:2f:d3:d8,Ariel_University,11,-20,32.10412387,35.21091349,700.0
1c:b9:c4:14:2c:3c,Ariel_University,52,-20,32.10270218423209,35.20982755067287,710.1110186784988
1c:b9:c4:16:f4:78,Ariel_University,1,-20,32.10285049573269,35.20887728427357,686.3118177377053
8c:0c:90:2d:75:e8,Ariel_University,1,-20,32.10299286801841,35.2087247441551,686.1497893587143
1c:b9:c4:15:41:78,Ariel_University,1,-20,32.10443396039875,35.21083206837683,694.780305912792
1c:b9:c4:15:ec:38,Ariel_University,6,-20,32.10305306,35.20978446,693.0
1c:b9:c4:16:1d:78,Ariel_University,1,-20,32.10385601291003,35.20909369934647,687.0
1c:b9:c4:16:ed:3c,Ariel_University,44,-20,32.10296049,35.20969913,702.14288
1c:b9:c4:15:1e:6c,Ariel_University,36,-20,32.10238085,35.21000654,712.1937427
1c:b9:c4:15:fd:e8,IT-MNG,11,-20,32.10481492,35.2114539,695.0
00:1a:dd:f5:df:c5,Afikim_Wifi,6,-20,32.10475343,35.21007474,689.0
b2:6c:ac:a0:3d:eb,sinusafe,3,-20,32.10406321,35.20902709,685.0
1c:b9:c4:16:ee:98,Ariel_University,6,-20,32.10275183237388,35.209488977571034,696.461632617304
1c:b9:c4:96:f4:77, ,36,-20,32.103269811877105,35.20978049144454,710.8779586256703
1c:b9:c4:12:7c:c8,Ariel_University,11,-20,32.10295457,35.208804300000004,686.0
1c:b9:c4:96:11:a7, ,44,-20,32.1026849,35.20979542,707.8280473
1c:b9:c4:16:ed:48,Ariel_University,6,-20,32.103718923267124,35.21036012718466,697.529939046253
1c:b9:c4:95:fd:47, ,36,-20,32.10353904,35.20994639,710.4770499
24:79:2a:2c:5c:1c,Ariel_University,36,-20,32.1037249,35.21020742,710.7830608
1c:b9:c4:16:2d:e8,Ariel_University,11,-20,32.104759929925926,35.21030941016326,687.2863071626666
